date,plant_no,plant_height,shoot_length,root_length,head_diameter,stem_diameter,total_weight,shoot_weight,root_weight,no_of_leaves
2024-09-03,1,9.0,2.0,7.0,8.0,0.1,1.3,0.5,0.8,5
2024-09-03,2,10.0,3.0,7.0,10.5,0.1,1.2,0.55,0.6499999999999999,5
2024-09-03,3,10.0,3.0,7.0,8.75,0.1,1.1,0.53,0.5700000000000001,5
2024-09-03,4,9.0,2.5,6.5,9.0,0.1,1.14,0.45,0.69,4
2024-09-03,5,10.0,3.0,7.0,8.75,0.1,1.0,0.4,0.6,5
2024-09-03,6,10.0,3.0,7.0,10.5,0.1,1.1,0.44,0.6600000000000001,5
2024-09-03,7,9.0,2.0,7.0,7.0,0.1,1.0,0.4,0.6,5
2024-09-03,8,9.0,2.0,7.0,14.0,0.1,1.5,0.6,0.9,5
2024-09-03,9,9.5,3.0,6.5,7.0,0.1,1.4,0.54,0.8599999999999999,4
2024-09-03,10,12.0,3.0,9.0,8.0,0.1,1.5,0.57,0.93,4
