rh,air_temp_c,co2_ppm,datetime
49.08,24.18,406.55,2024-03-10 10:00:00
47.51,23.55,413.38,2024-03-10 11:00:00
46.8,23.81,412.5,2024-03-10 12:00:00
47.12,24.48,408.94,2024-03-10 13:00:00
47.64,24.74,410.58,2024-03-10 14:00:00
48.55,24.43,413.71,2024-03-10 15:00:00
49.41,25.27,427.72,2024-03-10 16:00:00
50.27,20.93,440.55,2024-03-10 17:00:00
51.56,16.91,443.4,2024-03-10 18:00:00
53.32,15.9,447.13,2024-03-10 19:00:00
54.98,14.95,449.82,2024-03-10 20:00:00
56.49,14.01,453.56,2024-03-10 21:00:00
57.83,13.26,455.81,2024-03-10 22:00:00
59.81,11.37,465.31,2024-03-11 00:00:00
60.26,10.82,471.44,2024-03-11 01:00:00
60.62,10.42,475.82,2024-03-11 02:00:00
60.89,10.12,479.29,2024-03-11 03:00:00
61.22,9.92,484.13,2024-03-11 04:00:00
61.48,9.81,486.6,2024-03-11 05:00:00
61.38,11.26,484.31,2024-03-11 06:00:00
57.06,20.33,459.29,2024-03-11 07:00:00
52.95,24.85,443.29,2024-03-11 08:00:00
49.6,24.16,434.23,2024-03-11 09:00:00
48.4,24.34,425.57,2024-03-11 10:00:00
47.65,23.45,421.48,2024-03-11 11:00:00
47.19,23.99,419.98,2024-03-11 12:00:00
48.39,22.8,415.63,2024-03-11 13:00:00
48.13,24.63,413.96,2024-03-11 14:00:00
49.25,24.72,417.04,2024-03-11 15:00:00
50.36,25.72,424.98,2024-03-11 16:00:00
51.68,22.29,437.88,2024-03-11 17:00:00
54.04,17.2,445.02,2024-03-11 18:00:00
56.61,15.13,449.31,2024-03-11 19:00:00
58.16,14.23,450.49,2024-03-11 20:00:00
59.51,13.88,452.28,2024-03-11 21:00:00
60.56,13.51,452.65,2024-03-11 22:00:00
58.9,12.44,460.04,2024-03-11 23:00:00
61.93,12.84,449.85,2024-03-12 00:00:00
62.69,12.68,451.39,2024-03-12 01:00:00
63.03,12.23,452.94,2024-03-12 02:00:00
63.21,11.85,455.81,2024-03-12 03:00:00
62.97,11.8,452.51,2024-03-12 04:00:00
63.46,11.27,452.95,2024-03-12 05:00:00
63.23,12.45,444.2,2024-03-12 06:00:00
58.73,21.75,428.9,2024-03-12 07:00:00
55.23,25.45,424.04,2024-03-12 08:00:00
52.21,24.76,417.8,2024-03-12 09:00:00
50.18,23.12,411.77,2024-03-12 10:00:00
48.67,23.59,406.54,2024-03-12 11:00:00
48.25,24.21,407.38,2024-03-12 12:00:00
48.67,23.58,406.79,2024-03-12 13:00:00
50.59,22.78,404.6,2024-03-12 14:00:00
61.46,13.13,451.69,2024-03-12 23:00:00
59.96,23.57,439.33,2024-03-13 09:00:00
57.09,23.48,429.4,2024-03-13 10:00:00
53.59,23.81,425.44,2024-03-13 11:00:00
52.17,23.99,420.42,2024-03-13 12:00:00
51.68,24.6,415.45,2024-03-13 13:00:00
53.12,23.05,416.16,2024-03-13 14:00:00
51.2,22.66,454.56,2024-03-13 15:00:00
55.06,25.59,420.48,2024-03-13 16:00:00
56.53,23.37,439.63,2024-03-13 17:00:00
58.52,19.16,444.76,2024-03-13 18:00:00
60.47,17.84,450.64,2024-03-13 19:00:00
61.86,17.04,456.72,2024-03-13 20:00:00
63.07,16.39,461.56,2024-03-13 21:00:00
63.86,15.85,465.05,2024-03-13 22:00:00
65.06,15.37,469.71,2024-03-14 00:00:00
65.25,14.82,469.78,2024-03-14 01:00:00
65.58,14.0,477.63,2024-03-14 02:00:00
65.78,14.64,485.65,2024-03-14 03:00:00
65.73,14.54,487.65,2024-03-14 04:00:00
66.53,13.28,496.21,2024-03-14 05:00:00
66.01,14.47,489.91,2024-03-14 06:00:00
61.92,22.31,461.12,2024-03-14 07:00:00
58.83,24.96,443.2,2024-03-14 08:00:00
55.73,23.64,432.37,2024-03-14 09:00:00
54.44,22.36,425.7,2024-03-14 10:00:00
52.77,23.01,420.88,2024-03-14 11:00:00
51.71,23.45,415.06,2024-03-14 12:00:00
51.49,23.53,409.79,2024-03-14 13:00:00
51.77,23.6,410.9,2024-03-14 14:00:00
52.73,24.75,413.93,2024-03-14 15:00:00
54.12,25.03,420.48,2024-03-14 16:00:00
55.63,22.91,433.59,2024-03-14 17:00:00
57.56,18.09,440.81,2024-03-14 18:00:00
59.62,16.53,449.21,2024-03-14 19:00:00
61.2,15.72,454.31,2024-03-14 20:00:00
62.53,15.21,456.98,2024-03-14 21:00:00
63.29,14.61,459.73,2024-03-14 22:00:00
64.59,15.68,467.44,2024-03-14 23:00:00
64.32,12.94,464.9,2024-03-15 00:00:00
64.66,12.49,468.25,2024-03-15 01:00:00
64.97,12.1,472.27,2024-03-15 02:00:00
65.19,12.02,473.4,2024-03-15 03:00:00
65.39,11.89,473.29,2024-03-15 04:00:00
65.63,11.81,473.7,2024-03-15 05:00:00
64.97,13.51,463.16,2024-03-15 06:00:00
60.45,22.04,440.17,2024-03-15 07:00:00
56.7,25.0,437.51,2024-03-15 08:00:00
52.45,24.44,427.39,2024-03-15 09:00:00
47.81,26.82,407.63,2024-03-15 10:00:00
43.73,28.62,405.81,2024-03-15 11:00:00
41.79,29.17,402.22,2024-03-15 12:00:00
41.27,28.31,409.27,2024-03-15 13:00:00
41.16,27.69,410.63,2024-03-15 14:00:00
42.03,25.52,414.24,2024-03-15 15:00:00
44.62,23.87,426.58,2024-03-15 16:00:00
48.35,22.46,451.99,2024-03-15 17:00:00
51.05,18.48,463.19,2024-03-15 18:00:00
53.51,17.1,468.3,2024-03-15 19:00:00
55.56,15.99,473.75,2024-03-15 20:00:00
56.99,15.33,476.62,2024-03-15 21:00:00
58.4,14.82,478.72,2024-03-15 22:00:00
63.87,13.82,461.67,2024-03-15 23:00:00
60.26,14.22,482.13,2024-03-16 00:00:00
60.78,13.9,485.68,2024-03-16 01:00:00
61.41,13.95,488.24,2024-03-16 02:00:00
61.57,13.76,487.13,2024-03-16 03:00:00
62.15,13.78,488.7,2024-03-16 04:00:00
62.44,13.63,490.52,2024-03-16 05:00:00
62.57,14.25,486.25,2024-03-16 06:00:00
60.54,18.31,460.22,2024-03-16 07:00:00
59.66,22.94,448.27,2024-03-16 08:00:00
57.39,25.55,441.87,2024-03-16 09:00:00
55.42,26.09,431.68,2024-03-16 10:00:00
51.7,24.97,425.75,2024-03-16 11:00:00
50.33,25.54,424.06,2024-03-16 12:00:00
50.63,23.13,421.97,2024-03-16 13:00:00
51.83,25.06,418.29,2024-03-16 14:00:00
52.16,25.27,420.59,2024-03-16 15:00:00
53.4,23.98,429.33,2024-03-16 16:00:00
54.89,20.59,443.07,2024-03-16 17:00:00
56.02,17.99,449.4,2024-03-16 18:00:00
57.85,16.38,452.74,2024-03-16 19:00:00
58.95,16.61,455.88,2024-03-16 20:00:00
59.17,16.67,457.9,2024-03-16 21:00:00
59.54,16.66,457.03,2024-03-16 22:00:00
59.61,14.65,480.12,2024-03-16 23:00:00
61.43,15.7,461.88,2024-03-17 00:00:00
62.44,15.27,463.52,2024-03-17 01:00:00
62.85,15.26,465.98,2024-03-17 02:00:00
63.86,14.61,465.71,2024-03-17 03:00:00
64.09,14.64,468.13,2024-03-17 04:00:00
64.83,14.55,468.94,2024-03-17 05:00:00
64.33,15.52,463.0,2024-03-17 06:00:00
61.97,18.64,441.59,2024-03-17 07:00:00
59.39,23.99,430.47,2024-03-17 08:00:00
56.92,24.44,425.77,2024-03-17 09:00:00
56.81,24.8,417.37,2024-03-17 10:00:00
54.35,24.1,405.31,2024-03-17 11:00:00
52.76,23.84,402.42,2024-03-17 12:00:00
53.16,23.89,401.85,2024-03-17 13:00:00
53.72,23.83,408.23,2024-03-17 14:00:00
54.46,26.22,406.73,2024-03-17 15:00:00
55.52,24.76,422.79,2024-03-17 16:00:00
56.78,21.09,444.77,2024-03-17 17:00:00
58.65,17.61,449.64,2024-03-17 18:00:00
60.44,16.49,455.0,2024-03-17 19:00:00
61.2,16.68,457.99,2024-03-17 20:00:00
61.52,16.36,463.07,2024-03-17 21:00:00
62.06,15.92,470.9,2024-03-17 22:00:00
60.05,16.27,461.29,2024-03-17 23:00:00
63.85,15.32,472.53,2024-03-18 00:00:00
63.29,15.92,476.25,2024-03-18 01:00:00
64.56,15.57,478.43,2024-03-18 02:00:00
65.58,15.3,479.2,2024-03-18 03:00:00
65.77,14.71,481.54,2024-03-18 04:00:00
65.99,13.69,486.51,2024-03-18 05:00:00
65.68,14.96,472.02,2024-03-18 06:00:00
61.92,21.89,450.27,2024-03-18 07:00:00
58.86,24.82,450.38,2024-03-18 08:00:00
57.0,25.38,435.33,2024-03-18 09:00:00
53.95,26.53,426.75,2024-03-18 10:00:00
53.18,25.83,419.37,2024-03-18 11:00:00
51.47,24.29,413.47,2024-03-18 12:00:00
51.25,24.52,427.56,2024-03-18 13:00:00
51.87,18.96,427.5,2024-03-18 14:00:00
53.18,22.91,430.3,2024-03-18 15:00:00
54.59,19.93,448.95,2024-03-18 16:00:00
57.39,17.07,453.8,2024-03-18 17:00:00
58.67,16.09,458.8,2024-03-18 18:00:00
60.13,15.02,465.45,2024-03-18 19:00:00
61.26,14.54,469.43,2024-03-18 20:00:00
61.88,13.97,479.8,2024-03-18 21:00:00
62.81,13.61,509.6,2024-03-18 22:00:00
63.66,15.0,472.07,2024-03-18 23:00:00
63.93,13.34,493.91,2024-03-19 00:00:00
64.28,13.43,484.92,2024-03-19 01:00:00
64.92,13.16,483.15,2024-03-19 02:00:00
65.38,13.15,481.37,2024-03-19 03:00:00
65.61,13.03,480.46,2024-03-19 04:00:00
66.13,12.59,481.22,2024-03-19 05:00:00
65.24,14.23,462.28,2024-03-19 06:00:00
61.18,21.72,449.4,2024-03-19 07:00:00
58.96,23.92,448.6,2024-03-19 08:00:00
57.22,28.13,443.07,2024-03-19 09:00:00
54.42,26.66,437.08,2024-03-19 10:00:00
55.2,24.53,428.44,2024-03-19 11:00:00
52.83,23.86,423.36,2024-03-19 12:00:00
52.89,24.5,420.02,2024-03-19 13:00:00
51.95,24.29,419.32,2024-03-19 14:00:00
52.79,24.02,420.11,2024-03-19 15:00:00
53.69,24.97,426.35,2024-03-19 16:00:00
54.66,21.88,447.91,2024-03-19 17:00:00
57.12,18.0,459.47,2024-03-19 18:00:00
59.5,16.33,467.11,2024-03-19 19:00:00
61.09,15.27,476.38,2024-03-19 20:00:00
62.1,14.4,483.79,2024-03-19 21:00:00
62.74,13.51,495.0,2024-03-19 22:00:00
63.1,13.49,508.15,2024-03-19 23:00:00
64.0,12.28,510.79,2024-03-20 00:00:00
64.24,11.82,515.05,2024-03-20 01:00:00
64.41,11.49,518.79,2024-03-20 02:00:00
64.72,11.18,520.62,2024-03-20 03:00:00
65.17,10.87,527.25,2024-03-20 04:00:00
65.74,10.63,531.63,2024-03-20 05:00:00
65.08,13.27,506.47,2024-03-20 06:00:00
60.05,23.01,471.15,2024-03-20 07:00:00
56.34,24.97,453.3,2024-03-20 08:00:00
53.49,24.04,442.99,2024-03-20 09:00:00
51.46,22.97,436.88,2024-03-20 10:00:00
50.32,23.18,432.77,2024-03-20 11:00:00
49.76,23.76,427.34,2024-03-20 12:00:00
49.98,23.43,424.89,2024-03-20 13:00:00
51.07,22.97,424.04,2024-03-20 14:00:00
51.68,24.34,420.35,2024-03-20 15:00:00
52.39,26.32,419.96,2024-03-20 16:00:00
53.49,24.72,441.49,2024-03-20 17:00:00
55.39,19.88,456.52,2024-03-20 18:00:00
57.82,17.61,469.13,2024-03-20 19:00:00
59.47,16.56,482.35,2024-03-20 20:00:00
60.69,15.77,492.95,2024-03-20 21:00:00
61.44,15.38,492.11,2024-03-20 22:00:00
63.54,12.73,504.39,2024-03-20 23:00:00
62.63,15.11,484.56,2024-03-21 00:00:00
63.4,14.26,490.1,2024-03-21 01:00:00
64.48,13.53,491.41,2024-03-21 02:00:00
65.04,13.12,494.37,2024-03-21 03:00:00
65.09,12.7,502.01,2024-03-21 04:00:00
65.69,12.33,506.9,2024-03-21 05:00:00
64.95,14.97,479.42,2024-03-21 06:00:00
60.19,24.29,452.29,2024-03-21 07:00:00
56.38,25.6,440.13,2024-03-21 08:00:00
53.0,24.11,431.89,2024-03-21 09:00:00
50.84,23.69,425.1,2024-03-21 10:00:00
48.85,24.84,415.06,2024-03-21 11:00:00
46.97,26.46,408.44,2024-03-21 12:00:00
47.14,25.78,410.82,2024-03-21 13:00:00
49.96,22.65,412.08,2024-03-21 14:00:00
52.36,22.99,413.75,2024-03-21 15:00:00
53.99,24.66,421.81,2024-03-21 16:00:00
55.46,22.0,444.55,2024-03-21 17:00:00
57.29,17.93,453.77,2024-03-21 18:00:00
59.17,16.31,459.13,2024-03-21 19:00:00
60.24,15.41,464.95,2024-03-21 20:00:00
61.4,14.28,472.79,2024-03-21 21:00:00
62.32,13.79,474.54,2024-03-21 22:00:00
61.96,15.66,487.74,2024-03-21 23:00:00
63.55,13.49,479.15,2024-03-22 00:00:00
63.65,13.06,480.78,2024-03-22 01:00:00
64.17,12.71,483.0,2024-03-22 02:00:00
64.37,12.29,486.67,2024-03-22 03:00:00
64.95,11.37,491.9,2024-03-22 04:00:00
65.13,10.66,501.94,2024-03-22 05:00:00
64.34,12.75,486.45,2024-03-22 06:00:00
59.74,21.38,459.52,2024-03-22 07:00:00
56.69,23.88,448.48,2024-03-22 08:00:00
53.74,23.78,434.94,2024-03-22 09:00:00
51.07,23.71,427.19,2024-03-22 10:00:00
49.26,23.88,417.11,2024-03-22 11:00:00
48.62,24.43,409.99,2024-03-22 12:00:00
48.9,24.35,408.39,2024-03-22 13:00:00
49.81,23.95,406.99,2024-03-22 14:00:00
50.34,24.19,406.78,2024-03-22 15:00:00
51.46,25.6,423.18,2024-03-22 16:00:00
52.92,21.93,451.51,2024-03-22 17:00:00
55.15,17.22,460.8,2024-03-22 18:00:00
57.48,15.6,469.76,2024-03-22 19:00:00
59.24,14.68,473.09,2024-03-22 20:00:00
60.33,13.79,478.16,2024-03-22 21:00:00
61.4,13.25,481.17,2024-03-22 22:00:00
62.94,13.46,479.05,2024-03-22 23:00:00
62.04,12.34,488.97,2024-03-23 00:00:00
62.54,11.56,497.12,2024-03-23 01:00:00
63.27,11.14,504.02,2024-03-23 02:00:00
63.5,10.78,509.75,2024-03-23 03:00:00
63.42,10.58,513.62,2024-03-23 04:00:00
63.92,10.34,515.27,2024-03-23 05:00:00
63.44,12.77,493.65,2024-03-23 06:00:00
58.49,22.36,457.98,2024-03-23 07:00:00
54.68,24.56,442.59,2024-03-23 08:00:00
52.23,23.78,442.59,2024-03-23 09:00:00
49.97,23.68,423.93,2024-03-23 10:00:00
48.27,23.99,416.9,2024-03-23 11:00:00
47.66,24.6,413.21,2024-03-23 12:00:00
47.58,24.38,410.46,2024-03-23 13:00:00
48.25,24.7,408.7,2024-03-23 14:00:00
49.12,25.18,411.43,2024-03-23 15:00:00
50.55,25.37,419.56,2024-03-23 16:00:00
52.24,21.32,442.29,2024-03-23 17:00:00
54.36,16.7,448.55,2024-03-23 18:00:00
56.1,15.15,454.59,2024-03-23 19:00:00
57.65,14.48,461.71,2024-03-23 20:00:00
59.15,14.15,468.41,2024-03-23 21:00:00
60.08,13.98,471.45,2024-03-23 22:00:00
61.71,12.85,486.51,2024-03-23 23:00:00
61.45,12.84,482.5,2024-03-24 00:00:00
62.05,13.68,488.11,2024-03-24 01:00:00
62.19,13.5,493.81,2024-03-24 02:00:00
62.48,13.48,499.34,2024-03-24 03:00:00
62.74,12.59,504.21,2024-03-24 04:00:00
63.28,12.38,507.8,2024-03-24 05:00:00
63.19,14.26,498.63,2024-03-24 06:00:00
60.99,18.26,458.3,2024-03-24 07:00:00
56.68,24.17,440.14,2024-03-24 08:00:00
53.12,23.83,432.0,2024-03-24 09:00:00
51.96,24.37,436.46,2024-03-24 10:00:00
54.67,22.77,440.54,2024-03-24 11:00:00
54.9,22.9,429.84,2024-03-24 12:00:00
51.9,23.59,430.03,2024-03-24 13:00:00
53.74,24.9,432.04,2024-03-24 14:00:00
53.94,24.12,420.59,2024-03-24 15:00:00
54.5,24.33,432.06,2024-03-24 16:00:00
55.6,20.29,451.48,2024-03-24 17:00:00
57.51,17.49,459.88,2024-03-24 18:00:00
58.95,14.84,472.48,2024-03-24 19:00:00
60.79,13.79,476.9,2024-03-24 20:00:00
61.48,12.78,485.18,2024-03-24 21:00:00
62.34,12.45,487.91,2024-03-24 22:00:00
60.96,13.29,474.5,2024-03-24 23:00:00
62.58,11.2,502.51,2024-03-25 00:00:00
63.5,10.68,509.35,2024-03-25 01:00:00
63.33,10.38,521.05,2024-03-25 02:00:00
63.79,11.54,525.38,2024-03-25 03:00:00
63.48,11.38,533.48,2024-03-25 04:00:00
64.74,10.16,541.66,2024-03-25 05:00:00
63.71,12.68,517.87,2024-03-25 06:00:00
58.5,22.28,479.26,2024-03-25 07:00:00
55.16,24.18,459.94,2024-03-25 08:00:00
52.54,23.32,446.8,2024-03-25 09:00:00
51.18,23.56,439.63,2024-03-25 10:00:00
49.65,22.54,435.91,2024-03-25 11:00:00
49.0,23.0,430.17,2024-03-25 12:00:00
49.32,23.13,426.41,2024-03-25 13:00:00
49.73,23.61,424.11,2024-03-25 14:00:00
50.51,23.89,422.08,2024-03-25 15:00:00
51.61,25.4,428.15,2024-03-25 16:00:00
52.49,22.8,452.27,2024-03-25 17:00:00
54.5,17.9,460.01,2024-03-25 18:00:00
56.81,15.96,472.83,2024-03-25 19:00:00
58.2,14.6,488.33,2024-03-25 20:00:00
58.91,14.09,501.13,2024-03-25 21:00:00
59.75,13.57,507.98,2024-03-25 22:00:00
62.63,11.96,492.53,2024-03-25 23:00:00
61.21,12.48,520.08,2024-03-26 00:00:00
61.98,12.08,522.07,2024-03-26 01:00:00
62.38,11.63,529.05,2024-03-26 02:00:00
62.69,11.28,535.26,2024-03-26 03:00:00
63.18,11.18,541.76,2024-03-26 04:00:00
63.6,11.2,547.58,2024-03-26 05:00:00
62.87,13.66,521.19,2024-03-26 06:00:00
58.79,21.97,478.4,2024-03-26 07:00:00
55.64,24.85,463.12,2024-03-26 08:00:00
52.68,24.48,449.72,2024-03-26 09:00:00
48.26,24.78,439.17,2024-03-26 10:00:00
48.31,23.62,432.82,2024-03-26 11:00:00
47.86,23.35,428.02,2024-03-26 12:00:00
48.48,22.91,425.79,2024-03-26 13:00:00
49.47,22.7,426.84,2024-03-26 14:00:00
50.22,24.38,429.1,2024-03-26 15:00:00
50.91,26.05,430.74,2024-03-26 16:00:00
52.28,24.12,449.28,2024-03-26 17:00:00
54.56,21.01,464.93,2024-03-26 18:00:00
56.1,19.73,474.75,2024-03-26 19:00:00
57.42,19.1,481.44,2024-03-26 20:00:00
58.7,18.11,484.09,2024-03-26 21:00:00
59.47,17.52,483.7,2024-03-26 22:00:00
60.36,12.9,513.44,2024-03-26 23:00:00
61.1,16.65,475.67,2024-03-27 00:00:00
61.24,16.47,475.95,2024-03-27 01:00:00
62.07,16.16,475.69,2024-03-27 02:00:00
62.36,16.53,475.85,2024-03-27 03:00:00
61.96,17.19,478.25,2024-03-27 04:00:00
62.8,16.27,480.35,2024-03-27 05:00:00
62.27,17.45,461.3,2024-03-27 06:00:00
58.97,24.53,447.02,2024-03-27 07:00:00
54.92,25.43,443.1,2024-03-27 08:00:00
52.17,23.72,447.27,2024-03-27 09:00:00
49.17,25.06,441.42,2024-03-27 10:00:00
46.84,26.1,431.15,2024-03-27 11:00:00
46.45,25.29,425.49,2024-03-27 12:00:00
47.39,25.03,420.0,2024-03-27 13:00:00
47.77,24.09,418.54,2024-03-27 14:00:00
49.02,23.46,418.78,2024-03-27 15:00:00
50.83,26.12,418.16,2024-03-27 16:00:00
51.67,26.28,421.04,2024-03-27 17:00:00
53.61,22.23,433.94,2024-03-27 18:00:00
54.78,20.7,444.59,2024-03-27 19:00:00
55.73,19.46,459.15,2024-03-27 20:00:00
57.43,17.94,466.82,2024-03-27 21:00:00
58.51,17.25,477.66,2024-03-27 22:00:00
60.26,17.22,481.89,2024-03-27 23:00:00
60.7,15.64,515.44,2024-03-28 00:00:00
61.3,15.09,533.66,2024-03-28 01:00:00
62.07,14.59,546.92,2024-03-28 02:00:00
62.39,14.35,554.16,2024-03-28 03:00:00
62.78,14.22,554.7,2024-03-28 04:00:00
62.95,14.18,553.76,2024-03-28 05:00:00
62.3,16.85,514.07,2024-03-28 06:00:00
59.11,24.09,483.56,2024-03-28 07:00:00
